Claim,Claim Count,Issues
against Senate Bill 1; against the removal of DEI initiatives from Ohio State University; against the removal of DEI from Ohio public universities; for the protection of DEI,0,
against crackdowns of street vending in NY; against ICE raids; for immigrant rights; against mass deportation,0,Immigration
against all wars; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump; against fascism; against mass deportations of immigrants,0,Immigration
for access to abortion; for Amendment 3,0,Abortion
for public transit; against cuts to union jobs and local bus service,0,"LGBTplus, Workers"
for ceasefire in Gaza; for ending all U.S. weapons sales and aid to Israel; for humanitarian and medical aid to Gaza; against genocide in Gaza; for Palestinian liberation; for divesting hospitals from weapons manufacturers,0,Gaza
against police violence; for police accountability; for radical change; against racism,0,Racial Justice
for Palestinian liberation; for peace,0,Gaza
against Israel's war on Gaza and Lebanon; against U.S. aid to Israel; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; against racism; against homophobia; for Palestinian liberation; for education; for women's rights; for reproductive rights; against deportations of immigrants,0,"Abortion, Gaza, Racial Justice"
against Massachusetts Institute of Technology's partnership with Elbit Systems through its Industrial Liaison Program; for Palestinian liberation,0,Gaza
for divesting University of Illinois at Chicago from Israel; against complicity in the occupation of Palestine; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; against planned attacks on the Department of Education and student organizers; against immigrant deportations; for Palestinian liberation; for freedom of speech; for women's rights; for reproductive rights; for LGBTQ+ rights,0,"Abortion, Gaza, Immigration, LGBTplus"
against genocide in Gaza; for ending U.S. aid to Israel; for Palestinian liberation,0,Gaza
for ceasefire in Gaza; against apartheid; against genocide; against occupation; for Palestinian liberation,0,Gaza
for justice for Doug Harless; against police abuse of power; for police accountability,0,
against Donald Trump's agenda; against fascism; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights,0,"Gaza, LGBTplus, Racial Justice"
against L3Harris's complicity in genocide in Gaza; against weapons manufacturing; for Palestinian liberation,0,Gaza
against Citibank's continuing funding for fossil fuel projects; for climate action,0,Environment
against Chase Bank's continuing funding for fossil fuel projects; for climate action,0,Environment
against New York University's punishment of pro-Palestinian student protesters; for academic boycott of Israel; for divesting New York University from Israel; for Palestinian liberation,0,Gaza
against U.S. Senator Mark Kelly's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against racist and anti-democratic state legislation; against state legislation that would criminalize pro-Palestinian activism; against state legislation that would prohibit public universities from divesting from any country not already sanctioned by the federal government; against state legislation that would expand state attorney general's power to investigate organizations and individuals under suspicion of terrorism; for Palestinian liberation,0,Gaza
for abolishing police associations; against police violence and corruption; against racism,0,Racial Justice
for divesting Tufts University from Israel; for academic boycott of Israel; against Tufts University's complicity in genocide in Gaza; for Palestinian liberation,0,Gaza
against genocide in Gaza; for arms embargo on Israel; for Palestinian liberation,0,Gaza
in solidarity with healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,"Gaza, Healthcare, Workers"
for action by Columbia University School of Social Work administration to divest from Israel; for cancelling all academic ties with Israeli universities and faculty; for ending repression of pro-Palestinian voices on campus; for setting up a recurring town hall for the student body to openly discuss these issues with CSSW administration,0,Gaza
for freeing Ahmad Sa'adat and all Palestinian political prisoners held by Israel; against the Palestinian Authority's collaboration with Israel; against Zionism; for Palestinian liberation,0,"Gaza, Workers"
in commemoration of the anniversary of the unification of Ukraine in 1919; against Russia's invasion and war in Ukraine; for democracy and peace,0,
against proposed adoption of IHRA definition of antisemitism by Rutgers University; against Zionism; for Palestinian liberation,0,Gaza
for a larger meeting space for members of the Black Student Union; for student representation in funding matters,0,Workers
against Huntington Beach City Council displaying a MAGA plaque at a public library; against Donald Trump; against racism,0,Racial Justice
in solidarity with Israel; against pro-Palestinian protesters,0,Gaza
for Palestinian liberation; against suspension of Students for Justice in Palestine at UCLA organization; for divestment from companies associated with Israeli military,0,Gaza
against a New York real estate event promoting the sale of Palestinian property on settlements in the occupied West Bank; for Palestinian liberation,0,Gaza
for removal of NYC Mayor Adams; against Trump,0,Trump
against President Trump's attempts to defund public services; for funding for services such as education and healthcare; against President Trump's administrative order; for transgender rights,0,"Healthcare, LGBTplus"
against President Trump's abuse of power; against Elon Musk's involvement in the U.S. Federal Government,0,Musk/DOGE
against President Trump's abuse of power; for democracy; for civil rights; against Project 2025; for immigration rights; for LGBTQ rights; in support of climate action,0,"Environment, Immigration, LGBTplus"
against Representative David Schweikert's lack of action against Elon Musk; against Elon Musk; against DOGE; against the dismantling of USAID,0,Musk/DOGE
"against President Trump's abuse of power; against federal layoffs at the VA, USFS, CDC, FAA, EPA, IRS; for democracy; for civil rights",0,Trump
against President Trump; for democracy; for free speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,"Abortion, Environment, Gun Control, LGBTplus"
against President Trump's abuse of powr; against President Trump laying off thousands of federal employees; for protections for public services,0,Trump
against President Trump's abuse of power; for democracy; against Project 2025; for LGBTQ; for diversity,0,"LGBTplus, Musk/DOGE"
against President Trump's abuse of power; for democracy; against Project 2025,0,Trump
against President Trump's abuse of power; against a change in leadership at the Kennedy Performing Arts Center; against President Trump assigning himeslf role of president of the Kennedy Center,0,Trump
against President Trump's abuse of power; for Federal workers; against Federal funding cuts,0,Workers
for protecting rights; against Elon Musks's role in government; against President Trump's abuse of power,0,Musk/DOGE
against the Trump administration; against President Trump's policies,0,Trump
against President Trump's abuse of power; for democracy; against mass deportation of immigrants; against dismantling USAID,0,Immigration
against President Trump's abuse of power; for democracy; against Elon Musk; against DOGE; against President Trump's mass layoffs of federal employees,0,Musk/DOGE
against President Trump's abuse of power; for democracy;,0,Trump
against President Trump's abuse of power; for democracy; for immigrants' rights,0,Immigration
against President Trump's abuse of power; for democracy; against the Trump administration; against facism,0,Musk/DOGE
against Donald Trump's mass layoffs of federal employees across the country; against President Trump's recent de-funding of several public service institutions; for science; for healthcare; for research,0,"Healthcare, Musk/DOGE"
for better working conditions for corrections officers at Sing Sing Correctional Facility and all others in NY; for higher pay for corrections officers; for more staffing in correctional facilities; against the HALT act,0,
against President Trump; against Elon Musk; for democracy,0,Musk/DOGE
against President TrumpÃÂ¢ÃÂÃÂs Executive Order ÃÂ¢ÃÂÃÂEnsuring Accountability for All AgenciesÃÂ¢ÃÂÃÂ; for democracy,0,Trump
"in remembrance of President Roosevelt signing Executive Order 9066 in 1942 that ordered over 125,000 Japanese Americans to concentration camps; against racism; for Japanese American rights; against EO9066; against President Trump",0,Racial Justice
in solidarity with undocumented communities; for immigrant rights,0,Immigration
against President Trump's attacks on immigrants; for supporting immigrant students and their families; for LGBTQ+ rights; for immigrant rights; for UCSC providing resources to undocumented students,0,"Immigration, LGBTplus"
"against federal immigration deportment policies; against the Trump administration; for 2 miles of protection around schools, churches, parks and hospitals prohibiting ICE from detaining anyone in that area",0,Immigration
"against the closure of the Department of Education; in support of teachers, students with disabilities and underprivileged children; against federal education funding cuts",0,
against the Trump Administration; against the Department of Government Efficiency's federal funding cuts,0,Trump
for the passing of Maryland Data Privacy Act; for protections for immigrants; for immigrant rights,0,Immigration
against mass firings of federal EPA region 5 employees and other federal employees in Chicago; against the Trump administration,0,Musk/DOGE
against President Trump's attack on rights; for LGBTQ+ rights; for immigrant rights; for Native America rights; for access to education,0,"Immigration, LGBTplus"
in remembrance of Donnell Rochester; against police brutality; against racism; against anti-LGBTQ+ bigotry,0,"LGBTplus, Racial Justice"
against the construction of a new professional women's soccer stadium in Boston that could cost $100 million in taxpayer money; against gentrification,0,
agaisnt Elon Musk having access to American's private information anf government funds; for Rep. Buddy Carter accurately representing his constituents,0,Musk/DOGE
"against Donald Trump's funding cuts to the National Institutes of Health, Center for Disease Control and Prevention, and National Science Foundation; for funding for public health; for funding for health research",0,Trump
against Elon Musk's role in influencing President Trump; against President Trump's cuts to federal agencies; against the recent mass layoffs of federal workers,0,"Musk/DOGE, Workers"
against cuts to SISD fine arts programs; for funding for SISD fine arts programs,0,
for Colorado State University protecting DEI initiatives on campus; against President Trump dismantling DEI initiatives on school campuses,0,Trump
against layoffs of of CDC workers; against Trump administration's federal employee cuts,0,Workers
for better working conditions at correctional facilities in New York,0,
for amnesty for all eight students who were involved with the Palestine solidarity encampment at Bowdoin College; for Palestinian liberation,0,Gaza
for better working conditions for corrections officers at Cayuga Correctional Facility and others in NY; for higher pay for corrections officers; for more staffing in correctional facilities; against the HALT act,0,
against Donald Trump's mass layoffs of federal employees across the country; against President Trump's recent de-funding of several public service institutions,0,"Musk/DOGE, Trump"
against President Trump's abuse of power; for democracy; against DOGE; against Musk,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk; against DOGE; against President Trump's DEI policies,0,Musk/DOGE
against the Department of Government Efficiency's policies; against federal funding cuts and layoffs,0,Musk/DOGE
against Elon Musk's role in influencing President Trump; against the Department of Governmental Efficiency,0,Musk/DOGE
against President Trump's abuse of power; for democracy; for civil rights,0,"Musk/DOGE, Trump"
against President Trump's abuse of power; for democracy; for civil rights; against Project 2025,0,"Musk/DOGE, Trump"
against President Trump's abuse of power; against Elon Musk; against DOGE; for democracy; for civil rights,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk; against DOGE; for democracy; for civil rights; against Project 2025,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk; for democracy; for civil rights; against Project 2025,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk; for democracy; for civil rights; against DOGE,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk; for democracy; against DOGE; for Congressional control of funding,0,Musk/DOGE
against President Trump's abuse of power; against President TrumpÃÂ¢ÃÂÃÂs ethnic cleansing plans for Gaza; for Tulane University to become a sanctuary campus for immigrant students; for Palestinian liberation,0,"Gaza, Immigration"
against President Trump's immigration policies; against President Trump's Medicaid rollback policies; against President Trump's negotiations with Russia regarding the Ukraine War,0,"Healthcare, Immigration, Musk/DOGE"
against President Trump's abuse of power; against Elon Musk; for democracy,0,Musk/DOGE
"against President Trump's abuse of power; for democracy; for unity in opposition to the administration, against policies viewed as harmful to democratic governance, for mobilizing community activism, for supporting the proposed Economic Blackout protest",0,Musk/DOGE
against the unconstitutional power grab by President Donald Trump and Elon Musk; for defending the rule of law,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk,0,Musk/DOGE
against the Trump Administration's attempts to dismantle climate and health protections; for environmental protection,0,Environment
against Jefferson Griffin's efforts to throw out ballots in North Carolina State Supreme Court race,0,
against President Trump; against the appointment of Elon Musk to lead the Department of Government Efficiency; against DOGE,0,Musk/DOGE
for Deb Haaland for New Mexico Governor,0,
against the humanitarian crisis in the Democratic Republic of Congo; for bringing awareness to the ongoing conflict; for peace and justice; for support for those impacted by the conflict in DRC,0,
for Palestinian liberation; in support of Palestinian sovereignty; against President Trump's position to take control of Gaza,0,Gaza
against President Trump's executive orders; against Elon Musk's involvement in the U.S. Federal government; against the actions of Senator Susan Collins,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk's involvement in the U.S Federal government; against State Superintendent of Public Instruction Ryan Walters; against Governor Kevin Stitt; in support of a division of church and state in the federal government,0,Musk/DOGE
against President Trump's abuse of power; for democracy; against the Department of Government Efficiency; for transgender rights; for immigrant rights; for DEI,0,"Immigration, LGBTplus"
"against the potential closure of Bay County's Social Security Office; against cuts to social security, medicare, and medicaid; for the protection of social services",0,Healthcare
for divesting University of Pennsylvania from Israel; against complicity in genocide in Gaza; for Palestinian liberation; against gentrification in Philadelphia,0,Gaza
against President Trump's abuse of power; for democracy; against Arizona Senate Bill 1164 mandating that local law enforcement agencies enter into legal agreements codifying cooperation with ICE,0,Musk/DOGE
against President Trump's abuse of power; against the Trump administration,0,Trump
against Jefferson Griffin suing to toss out ballots for a state Supreme Court seat on the grounds of irregularities in voters of his opponent; against Jefferson Griffin attempting to interfere with voters; for voters' rights,0,
for putting people over profits; for supporting working families,0,
against President Trump's abuse of power; against Project 2025; for democracy,0,Trump
for Palestinian liberation; in support of a ceasefire in Gaza; against the Trump administration,0,Gaza
against President Trump's abuse of power; for democracy; for civil rights; against DOGE,0,Trump
against President Trump's abuse of power; against Elon Musk; for democracy; for civil rights; for immigration rights; for LGBTQ+ rights,0,"Immigration, LGBTplus, Musk/DOGE"
against DOGE's order to end DEI programming; against DOGE; against the Trump administration,0,Musk/DOGE
against President Donald Trump's abuse of power; against mass deportation; for transgender rights,0,"Immigration, LGBTplus"
against President Trump's abuse of power; against Elon Musk; for democracy; for civil rights,0,Musk/DOGE
"against N.C. Appeals Court Judge Jefferson GriffinÃÂ¢ÃÂÃÂs effort to throw out 60,000 ballots cast in the November election",0,
against President Trump; for reproductive rights; for LGBTQ+ rights,0,"Abortion, LGBTplus"
against President Trump's abuse of power; against Elon Musk; for democracy; for civil rights; against Project 2025; against President Trump's recent mass firings of federal employees; for the protection of national parks and public land,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk;,0,Musk/DOGE
against President Trump's abuse of power; against Elon Musk; for democracy; for civil rights; against DOGE; against President Trump's mass firing of federal employees; against President Trump cutting funds to USAID,0,Musk/DOGE
against President Trump's abuse of power; against fascism; for democracy; for civil rights,0,Trump
against Elon Musk's unfettered access and control over federal matters; against the dismantling of federal institutions; against the mass firing of skilled federal workers,0,"Musk/DOGE, Workers"
for for third-party investigation after neo-Nazi rally in Ohio; for peace; for transparency and accountability from local law enforcement,0,LGBTplus
against immigrants' deportation and family separation; against ICE raids; against the Trump adminstration's racist policies,0,Immigration
against President Trump's abuse of power; fagainst Elon Musk; or democracy; for civil rights; against Project 2025,0,Musk/DOGE
against President Trump's abuse of power; against the Trump administration; against Elon Musk; for civil rights,0,Musk/DOGE
for immigrants' rights; for Trans rights; for Women's rights; for Healthcare rights,0,"Abortion, Healthcare, Immigration, LGBTplus"
against President Trump's executive orders; against Elon Musk's involvement in the U.S federal government; for immigrant rights,0,"Immigration, Musk/DOGE"
against the Trump administration's policies; for democrcay; for civil rights,0,Trump
"against the Trump Administration's cuts to the National Park Service; against the firing of at least 1,000 National Park Service employees",0,Musk/DOGE
in support of Gov. Janet Mills following her response to President Trump's executive order barring transgender athletes from competing in girls' and women's sports; against President Trump's policies; for trans rights; for LGBTQ+ rights,0,LGBTplus
against President Trump; against the appointment of Elon Musk to lead the Department of Government Efficiency; against Project 2025,0,Musk/DOGE
for Palestinian liberation; against speakers at a University of Maryland event about political negotiations in the Middle East in favor of Israel's military offensive in Gaza,0,Gaza
for immigrant rights; against federal migrant deportation policies; against the Trump adminstration's policies,0,Immigration
against fascism; for upholding the Constitution; gainst executive overreach,0,
against the Trump adminstration policies; against immigrants' deportation and family separation; for LGBTQ+ rights,0,"Immigration, LGBTplus"
against ICE raids and immigrant deportations; against militarization of U.S.-Mexico border; against President Trump,0,Immigration
against the Trump Administration's policies; for LGBTQ+ rights; for disability rights; for democracy,0,"LGBTplus, Musk/DOGE"
for greater wages; for an all career workforce; against merging USPS with the department of commerce; against dismantling the post service,0,Workers
against President Trump's attacks on immigrants; against mass deporatations,0,Immigration
for the University of Northern Texas to protect its immigrants students; against immigrants' deportation and family separation; against ICE raids; against the Trump administration's immigration policies,0,Immigration
against DOGE; against federal cuts; for democracy,0,Musk/DOGE
against the Trump adminstration's policies; against Elon Musk and DOGE; for democracy; for civil liberties; against Project 2025,0,Musk/DOGE
in solidarity with Ukraine; against US having ceasefire talks with Russia without Ukraine,0,
against the Trump administration; against DOGE; against project 2025; for trans-rights; for womans-rights; for immigrant rights; against oppression,0,"Immigration, LGBTplus, Musk/DOGE"
in celebration of International Women's Day; for Women's rights,0,Abortion
against wealth consolidation; against billionaires in government; against the reconcillation bill,0,
against President Trump's executive orders to deport immigrants; against ICE immigration sweeps in the Central Valley,0,Immigration
for Rep. Barbara Drummond's mayoral candidacy,0,
"against the University of Cincinnati rolling back diversity, equity, and inclusion programs; against the University of Cincinnati requiring transgender students to use bathrooms matching the sex on their birth certificates; against Ohio Senate Bill 1",0,LGBTplus
for trans liberation; against U.S. president Donald Trump and U.S. vice president J.D. Vance; against Ohio Senate Bill 104 requiring sstudents use bathrooms and lockers that correspond with their sex assigned at birth,0,LGBTplus
for trans rights; against Senate File 418 in Iowa to remove civil rights protections for transgender people,0,LGBTplus
against Fire Service Fee referendum in Eugene; against putting the issue of the Fire Service Fee on the ballot,0,
"for wage increases, cost of living allowance, true profit sharing, more vacation days, and better retirement benefits for Rolls-Royce workers at the Indianapolis facility",0,Workers
against the construction of a new jail in Jacksonville,0,
against the Trump administration; against Elon Musk; for civil rights; for Senator Susan Collins to take action against President Trump,0,Musk/DOGE
against potential funding cuts to Medicaid,0,Healthcare
for New York University divesting from Israel; against NYU investing in companies with ties to Israel; for Palestinian liberation; against the war in Gaza,0,Gaza
in support of keeping religion out of public schools; against ICE coming to public schools,0,Immigration
against Elon Musk; against the Department of Government Efficiency's effort to reduce government spending,0,Musk/DOGE
against Trump administration's initiative to cut federal spending with mass layoffs,0,Musk/DOGE
in support of the Latino and immigrant community; against immigrant deportations,0,Immigration
against ICE; for justice for Ulises Pena Lopez who was brutalized by ICE; for Ulises Pena Lopez's Freedom; against the Trump adminstration's policies,0,Trump
in commemoration of the third anniversary of Russia's attack on Ukraine; in solidarity with Ukraine; against Russia's aggression; against President Trump's peace talks with Russia; against President Trump calling President Zelensky a dictator,0,Trump
against DEI rollbacks at a Target store in Michigan,0,
against proposed federal budget cuts to Medi-Cal in California,0,Musk/DOGE
against President Trump's abuse of power; for democracy; against the Department of Government Efficiency's mass layoffs of federal workers,0,"Musk/DOGE, Workers"
against Wyoming House Bill 172; for gun control laws,0,Gun Control
"against ICE raids and immigrant deportations; for immigrant rights; in protest of ICE coming to California State University, Chico's career fair; against President Trump's immigration policies",0,Immigration
for safer working conditions for corrections officers in New York state; for a repeal of the HALT act,0,
"against House Study Bill 242; against the proposed removal of ""gender identity"" as a class protected through the Iowa Civil Rights Act",0,
against layoffs of federal employees; against layoffs of Minnesota Veterans Affairs workers; against the Trump adminstration's policies,0,Workers
against U.S. Rep. Tom McClintock's support for the Trump adminstration policies; against Project 2025; for democracy,0,Trump
in commemoration of the third anniversary of Russia's attack on Ukraine; in solidarity with Ukraine; against Russia's aggression,0,
against Donald Trump's cuts to federal funding; for funding for research; against mass layoffs of federal employees,0,Trump
for immigrant rights; for civil rights,0,Immigration
in celebration of the restoral of LGBTQ+ housing at Florida State University; for LGBTQ+ rights,0,LGBTplus
against Donald Trump's recent firings of federal employees at the Department of Health and Human Services; against cuts to public health; for supporting and funding public health initiatives and research,0,Musk/DOGE
against Donald Trump's recent firings of federal employees; against Elon Musk's influence on President Trump,0,Musk/DOGE
against President Trump's recent firings of federal employees; for public services,0,Trump
against President Donald Trump's recent firings of federal employees; against Elon Musk,0,Musk/DOGE
against healthcare cuts; for fare wages; for better working conditions,0,"Healthcare, Workers"
"against changes to CSUÃÂ¢ÃÂÃÂs diversity, equity, inclusion, and accessibility policies; against the uncertainty surrounding the future of Cultural Resource Centers; against lack of transparency and clear communication from administration; against police presence at student government meetings as an intimidation tactic; against the DOEÃÂ¢ÃÂÃÂs directive prohibiting race-based considerations in university policies; for maintaining and fully funding Cultural Resource Centers; for open dialogue and decision-making with student involvement; for increased student engagement in governance and activism; for administrative accountability in supporting marginalized students; for preserving DEIA initiatives on campus",0,LGBTplus
for Congressman Pete Stauber to take action against the Trump administration; against President Donald Trump; against Elon Musk; against the potential end of Medicare,0,"Healthcare, Musk/DOGE"
for a safer campus; for more funding for safety measures; for Police Chief Ceaser Moore to give students answers; for security camera checks; for accountability for UH police,0,
in solidarity with Ukraine; against US having ceasefire talks with Russia without Ukraine; against Trump claiming Ukraine was responsible for the war,0,Trump
against Elon MuskÃÂ¢ÃÂÃÂs involvement in the federal government; against Sen. Shelley Moore CapitoÃÂ¢ÃÂÃÂs lack of response to constituents; against cuts to Medicaid and Social Security; against threats to democracy and constitutional protections; against the concentration of power in the presidency; for protecting federal workers and civil servants; for maintaining the separation of powers; for Capito addressing the concerns of West Virginians; for supporting small businesses impacted by economic policies; for ensuring qualifications and accountability in federal agency leadership,0,"Healthcare, Musk/DOGE, Workers"
support for immigrant communities; against deportations of undocumented migrants; against local authorities assisting federal deportation efforts; for elected leaders in Oakland and the East Bay resisting deportation policies; against the alleged political coercion of New York Mayor Eric Adams regarding deportations; for continued interfaith advocacy and protection of immigrants,0,Immigration
for protecting Oak Flat from proposed copper mine; for environmental conservation; for protecting sites sacred to Native peoples',0,Environment
for House Bill 30 to get a hearing,0,
for the protection of public land,0,
against proposed cuts to Medicare,0,Healthcare
for divesting University of Houston from Israel; against apartheid and genocide; for Palestinian liberation,0,Gaza
in remembrance of the thousands of Palestinians killed in the ongoing war; for Palestinian liberation,0,Gaza
for UC San Diego to protect and provide more resources for students without legal status; against Trump administration; against ICE and mass deportations,0,Immigration
against ongoing labor disputes between The Original Pantry Cafe employees and the new owner of the cafe; for job security for cafe employees; for workers rights; for union rights,0,Workers
for better working conditions for corrections officers; for higher pay for corrections officers; for more staffing in correctional facilities; against the HALT act,0,
for Cedars-Sinai Medical Center to provide safe and equitable maternal care; for an improvement on Black maternal care,0,
against DOGE; against federal cuts,0,Musk/DOGE
against House Bill 1259; for trans rights; for LGBTQ+ rights,0,LGBTplus
against artificial general intelligence; against use of AI in the military; for justice for OpenAI engineer Suchir Balaji who died,0,
against park worker layoffs; against the Trump adminstration's policies,0,Workers
for Jeffries to take more action against president Trump; for all democratic politicians to take more action against president Trump,0,Trump
in remembrance of Palestinians killed in genocide in Gaza; in celebration of healthcare workers in Gaza; for Palestinian liberation,0,"Gaza, Healthcare, Workers"
"against economic inequality and oligarchy, for fighting for working families, against rising costs of housing, healthcare, food, childcare, and college, for LGBTQ and women's rights, against massive tax breaks for the wealthy, against cuts to Medicaid and other essential programs, for federal funding to support working-class people, for addressing climate change",0,"Abortion, Environment, Healthcare, LGBTplus"
in support of the Department of Education; against President Trump's plan to dismantle the Department of Education,0,Trump
against education savings accounts; for increased funding for public schools,0,
for immigrant rights; against President Trump's immigration policy,0,Immigration
against police brutality; against racism,0,Racial Justice
against Elon Musk's abuse of power,0,Musk/DOGE
for justice for a murdered trans man; against trans hate; for trans rights,0,LGBTplus
for funding education; against medicaid cuts; for their representative to explain his stances on policy; against president Trump's policies,0,Healthcare
against immigration raids; against ICE; against the Trump administration's immigration policies,0,Immigration
against the Trump adminstration's policies; against Elon Musk and DOGE; against federal funding cuts,0,Musk/DOGE
for democracy; for supporting farmers elderly children and those in poverty,0,
against house budget cuts affecting working families; against Elon Musk's involvement in the federal government;,0,Musk/DOGE
against CDC layoffs; against the Trump administrationÃÂ¢ÃÂÃÂs budgetary cuts,0,Trump
"for dignity, safety, and liberation for working-class Texans",0,
"against Rep. Virginia Foxx not interacting with her constituents; for transparency from Virginia Foxx; against potentical cuts to Medicaid; against cuts to national parks, research, housing, and education; against Elon Musk having private information on Americans",0,"Healthcare, LGBTplus, Musk/DOGE"
for U.S. Rep Stephen Lynch,0,
for LGBTQ+; for gender-affirming care at UVA hospital,0,LGBTplus
for Rep. Andrew Clyde to take more action against Elon Musk; against Elon Musk's abuse of power,0,Musk/DOGE
in solidarity with members of the Camden Conference; for democracy,0,
against Israeli prime minister Benjamin Netanyahu's visit to DC; for arresting Netanyahu for war crimes; against genocide in Gaza; for Palestinian liberation,0,Gaza
against WE Energies' proposed new natural gas plant in Kenosha County; for green energy; for climate action,0,Environment
against ICE raids and immigrant deportations; for LGBTQ+ rights; against President Trump,0,"Immigration, LGBTplus"
against President Trump and Elon Musk's attacks of U.S. Department of Labor; against Department of Government Efficiency; for democracy; against corruption; for workers' rights,0,"Musk/DOGE, Workers"
against President Trump and Elon Musk's attacks of U.S. Department of the Treasury; against Department of Government Efficiency; for democracy; against corruption,0,Musk/DOGE
against the dismantling of USAID; against President Trump,0,Trump
against Project 2025; against President Trump,0,Trump
for Senator John Fetterman to vote no on the nomination of Russel Vought for OMB director; against Elon Musk; against President Trump; againt Project 2025,0,Musk/DOGE
against Donald Trump's immigration policies; against immigration deportations,0,Immigration
against President Trump; against immigrant deportations,0,Immigration
for implementation of Bowdoin Solidarity Referendum; for divesting Bowdoin College from Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against L3Harris; in solidarity with Palestinian birdwatchers; in support of the Boycott Divest Sanction movement against Israel; against weapons manufacturing; for Palestinian liberation,0,Gaza
against Massachusetts Institute of Technlogy's collaboration with Elbit Systems through its Industrial Liaison Program; for Palestinian liberation,0,"Gaza, Workers"
against President Trump's actions in office; against federal fudning freeze; against senate vote for Russel Vought; against project 2025,0,Musk/DOGE
against visit to Chicago by former Israeli minister of defense Yoav Gallant; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump's polices; against Governor Mike Braun's policies,0,Trump
against President Trump's abuse of executive power; against Elon Musk; for democracy; against corruption; for action by Democrats,0,Musk/DOGE
against Project 2025; against President Trump; against fascism; for immigrants' rights; for diversity; for trans rights; in support of civil servants; for science; for the U.S. constitution,0,"Immigration, LGBTplus, Musk/DOGE"
for justice for Hadi Abuatela; for justice for Murod Kurdi; against police brutality; against racism,0,Racial Justice
against Project 2025; against President Trump; against fascism,0,Trump
against President Trump; for democracy; against ICE raids and immigrant deportations; against abuse of power; against trade wars,0,Immigration
against City of Portland's decision to grant a Land Use Compatibility Statement to Zenith Energy; against expansion of fossil fuel infrastructure in Portland; for climate action,0,Environment
against President Trump; for human rights; for democracy; against Project 2025,0,Trump
against ICE raids and immigrant deportations; against anti-LGBTQ+ attacks; for policies at University of Vermont to protect immigrant and LGBTQ+ students and workers,0,"Immigration, LGBTplus, Workers"
against ICE raids and immigrant deportations; against militarization of O'odham tribal lands; against police brutality; for Palestinian liberation; against genocide,0,"Gaza, Immigration, Racial Justice"
against disenfranchisement of tens of thousands of North Carolina voters; for voting rights; against racism,0,Racial Justice
"against Donald Trump's deportation push; against mass deportations, for immigrant rights, against fear-based immigration policies, for protecting undocumented families, against ICE raids in communities",0,Immigration
against General Dynamics; against weapons manufacturing in Maine; for Palestinian liberation,0,Gaza
against ICE raids and immigrant deportations; against ending birthright citizenship,0,Immigration
for Gov. Spencer Cox to veto HB267; for collective bargaining rights for Utah public sector unions,0,Workers
against Adam Hasner's FAU presidential candidacy,0,
against Trump adminstration policies; for LGBTQIA rights; for immigration rights; for DEI,0,"Immigration, LGBTplus"
against ICE raids and immigrant deportations; for workers' rights,0,"Immigration, Workers"
against ICE raids and immigrant deportations; for immigration reform,0,Immigration
against homophobia by parent company of The Drip Cafe coffee shop; against Recycled God's Love; for LGBTQ+ rights,0,LGBTplus
against freeze on funding for U.S. Environmental Protection Agency; for climate action,0,Environment
against white supremacy; against racism,0,Racial Justice
for supporting the union's ongoing contract campaign; for strengthening union voices and ensuring their labor is properly recognized,0,Workers
against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies; for protecting immigrant families from deportation; for immigrant rights,0,Immigration
against Lockheed Martin's complicity in genocide in Gaza; for Palestinian liberation,0,Gaza
against the federal funding freeze; for Senator Ron Johnson to vote no against Russ Vought,0,
against University of Minnesota's stated intention to comply with ICE orders; against deportations of immigrant students,0,Immigration
"against the expulsion of 2 Columbia Unviersity students for disrupting a ""History of Modern Israel"" class; for Palestinian liberation",0,Gaza
against the planned closure of 4 Brooklyn Childcare centers,0,
in solidarity with immigrants and undocumented people; against ICE and immigrant deportations; against President Trump's executive orders,0,Immigration
against deportation,0,Immigration
against Elon Musk's involvement in the United States Government; against Senator Cornyn's failure to uphold his constitutional duty to protect U.S. institutions from corporate overreach,0,Musk/DOGE
against Israeli prime minister Benjamin Netanyahu's leadership of genocide in Gaza; for Palestinian liberation,0,Gaza
for divesting Michigan State University from Israel; for Palestinian liberation,0,Gaza
against ICE deportations; for immigrant rights,0,Immigration
against President Trump; against fascism,0,Trump
against President Trump; against fascism; for equality,0,Trump
